symmetric,input_dim,latent_dim,ratio,hidden_layers,seed,mse_mean,mse_std,mse_p95,mae_mean,mae_std
True,128,8,11.636363636363637,2,2,5.4887214,7.1552067,17.743786239624015,1.7406429,1.098239
False,128,8,11.636363636363637,2,2,5.3919253,8.379476,15.531471252441404,1.6955487,1.1080873
True,128,8,11.636363636363637,2,3,5.188198,5.309135,15.27708053588867,1.7293127,0.94999146
False,128,8,11.636363636363637,2,3,5.857996,7.1251197,19.514486312866207,1.8151603,1.1082772
True,128,8,11.636363636363637,2,4,5.080035,6.068434,16.842316627502424,1.6933707,1.0220944
False,128,8,11.636363636363637,2,4,6.375385,7.95024,21.18929214477539,1.8715652,1.1403165
True,128,8,11.636363636363637,2,5,6.11326,7.3573093,20.490929412841787,1.8694705,1.1243882
False,128,8,11.636363636363637,2,5,5.3531537,6.367019,16.78185615539549,1.7507654,1.0419793
True,128,8,11.636363636363637,2,6,5.2648296,6.2769084,17.206810951232878,1.7211196,1.0233911
False,128,8,11.636363636363637,2,6,5.584533,7.4034295,16.374498367309567,1.7445418,1.0953916
True,128,8,11.636363636363637,2,7,5.5777664,7.888986,20.948403167724557,1.7373142,1.1535234
False,128,8,11.636363636363637,2,7,4.9612575,5.949819,16.292267227172825,1.6670336,1.0281594
True,128,8,11.636363636363637,2,8,5.7946587,7.568353,17.27249526977538,1.7954371,1.0991527
False,128,8,11.636363636363637,2,8,5.16356,6.2218328,16.628344345092756,1.7087417,1.03099
True,128,8,11.636363636363637,2,9,5.2692513,6.4189887,17.729204559326163,1.7229296,1.028518
False,128,8,11.636363636363637,2,9,6.4488983,9.149743,21.58726654052734,1.865591,1.2373044
True,128,16,6.7368421052631575,2,0,5.770246,9.330896,17.830680847167955,1.7943426,1.1785947
False,128,16,6.7368421052631575,2,0,4.7764864,7.054145,19.113129806518547,1.6047978,1.1071527
True,128,16,6.7368421052631575,2,1,3.6742568,8.332867,10.368746566772455,1.3777118,1.0216597
False,128,16,6.7368421052631575,2,1,5.1027226,7.1571026,16.758062744140624,1.6825842,1.1050148
True,128,16,6.7368421052631575,2,2,5.8540087,10.14159,23.207071685790968,1.7576523,1.2785257
False,128,16,6.7368421052631575,2,2,5.4838796,7.693752,18.734057235717767,1.7279764,1.145477
True,128,16,6.7368421052631575,2,3,3.531349,5.2433906,12.588488578796381,1.3891486,0.94280213
False,128,16,6.7368421052631575,2,3,5.1973014,8.485716,17.138629531860303,1.6602976,1.1425694
True,128,16,6.7368421052631575,2,4,4.849332,7.160355,17.66639404296874,1.6271476,1.0905644
False,128,16,6.7368421052631575,2,4,4.162696,6.0678635,13.949241065979,1.5276728,0.99972194
True,128,16,6.7368421052631575,2,5,5.56991,7.4262094,20.195705795288063,1.77042,1.137035
False,128,16,6.7368421052631575,2,5,3.7903087,5.6650867,13.12175998687741,1.4168254,0.9887394
True,128,16,6.7368421052631575,2,6,3.2072911,3.749502,11.01855239868163,1.3785534,0.7972134
False,128,16,6.7368421052631575,2,6,4.889253,6.748787,18.701254272460933,1.6356764,1.0860963
True,128,16,6.7368421052631575,2,7,3.6994565,4.390751,13.272124481201166,1.4522204,0.9195389
False,128,16,6.7368421052631575,2,7,4.1995907,5.3097987,14.723656082153312,1.5451384,0.98944986
True,128,16,6.7368421052631575,2,8,4.4368076,6.793316,14.672181510925286,1.5548263,1.0946424
False,128,16,6.7368421052631575,2,8,5.0388665,7.288963,14.662692070007319,1.6780926,1.1007009
True,128,16,6.7368421052631575,2,9,3.834578,5.1410456,11.729146575927732,1.4756289,0.9056465
False,128,16,6.7368421052631575,2,9,4.2082524,5.810623,13.331098937988282,1.5345974,1.0102862
True,128,32,3.657142857142857,2,0,2.1526382,5.020398,5.213676357269275,1.017869,0.7872785
False,128,32,3.657142857142857,2,0,2.531882,5.8196483,6.783187103271483,1.0917587,0.8467747
True,128,32,3.657142857142857,2,1,1.9708982,4.8487053,5.394174003601065,0.9482916,0.74637324
False,128,32,3.657142857142857,2,1,2.129154,3.1479445,6.980598831176753,1.060874,0.716982
True,128,32,3.657142857142857,2,2,2.3701222,4.110215,6.620084190368651,1.1115345,0.7731554
False,128,32,3.657142857142857,2,2,2.3783777,3.9125006,7.262995910644525,1.1206295,0.74186325
True,128,32,3.657142857142857,2,3,2.2233715,3.760649,8.49795322418212,1.0441188,0.7272261
False,128,32,3.657142857142857,2,3,3.0900195,7.2270174,9.394455718994138,1.1953412,1.014182
True,128,32,3.657142857142857,2,4,1.7368397,2.9952984,5.761172294616684,0.9241473,0.6385161
False,128,32,3.657142857142857,2,4,3.4746013,12.70361,9.913926315307616,1.2333264,1.152493
True,128,32,3.657142857142857,2,5,1.7417501,2.99752,5.371693229675291,0.9487835,0.65382266
False,128,32,3.657142857142857,2,5,2.3663824,5.518874,6.217326354980467,1.0436908,0.7927365
True,128,32,3.657142857142857,2,6,2.6210244,3.993323,9.38159713745114,1.1658034,0.8117682
False,128,32,3.657142857142857,2,6,1.7564659,3.4224281,5.662931442260738,0.92668813,0.6598134
True,128,32,3.657142857142857,2,7,1.8930935,3.6487288,6.3949554443359355,0.98105156,0.6738829
False,128,32,3.657142857142857,2,7,2.985565,7.852428,8.151398468017575,1.173654,0.9763835
True,128,32,3.657142857142857,2,8,2.3370945,7.8934736,5.700939559936521,0.9996003,0.8591071
False,128,32,3.657142857142857,2,8,2.1762385,3.8235843,6.909108161926266,1.0561637,0.7180553
True,128,32,3.657142857142857,2,9,2.6936824,3.4798248,8.647040939331049,1.219117,0.7745949
False,128,32,3.657142857142857,2,9,2.4268272,6.607723,6.598717212676999,1.0747145,0.8100834
True,128,64,1.9104477611940298,2,0,1.5828444,4.7174406,6.139881896972653,0.78430605,0.7182494
False,128,64,1.9104477611940298,2,0,2.0407019,3.2950668,5.808520317077636,1.0438635,0.6768133
True,128,64,1.9104477611940298,2,1,1.3722491,3.1681678,5.2327144622802715,0.76240265,0.6320553
False,128,64,1.9104477611940298,2,1,2.1351135,6.5200152,6.193180847167954,0.90702397,0.8505645
True,128,64,1.9104477611940298,2,2,1.7829458,6.0796714,4.8832339286804185,0.84775674,0.7769483
False,128,64,1.9104477611940298,2,2,2.7095459,3.2480633,7.446347332000732,1.2404251,0.7110124
True,128,64,1.9104477611940298,2,3,1.3485069,4.165608,3.5209122657775875,0.7392743,0.6521917
False,128,64,1.9104477611940298,2,3,2.2052426,6.1943946,5.3161859512329075,0.95611024,0.8259226
True,128,64,1.9104477611940298,2,4,1.6532634,3.530921,4.464442062377923,0.8799834,0.6144467
False,128,64,1.9104477611940298,2,4,1.2345555,2.1864433,3.7321125507354695,0.7797327,0.52916306
True,128,64,1.9104477611940298,2,5,1.6672947,3.2479837,5.766554355621338,0.87923,0.6644854
False,128,64,1.9104477611940298,2,5,2.9015384,4.616592,9.370658111572261,1.2125578,0.7926531
True,128,64,1.9104477611940298,2,6,1.2492388,2.6893244,3.222088527679441,0.7852517,0.54639715
False,128,64,1.9104477611940298,2,6,1.7765412,5.0298667,5.8977092742919845,0.8546452,0.72682744
True,128,64,1.9104477611940298,2,7,1.7442755,3.6590998,6.234598350524901,0.8820594,0.6922365
False,128,64,1.9104477611940298,2,7,2.9850764,5.511105,10.375020980834954,1.2263805,0.8618116
True,128,64,1.9104477611940298,2,8,1.5928973,3.337525,5.049908256530761,0.8519092,0.64885694
False,128,64,1.9104477611940298,2,8,2.409398,7.821688,6.784192562103268,0.9305536,0.91955537
True,128,64,1.9104477611940298,2,9,1.3621085,2.3255985,4.229416084289544,0.81725466,0.55664855
False,128,64,1.9104477611940298,2,9,2.0696228,5.4070206,6.099578285217272,0.92136455,0.77369386
True,256,4,36.57142857142857,2,0,18.197916,38.189354,47.67924060821531,3.0362458,2.1934507
False,256,4,36.57142857142857,2,0,29.916904,112.22053,59.93442039489741,3.2290401,3.5458212
True,256,4,36.57142857142857,2,1,17.22186,18.435417,56.26233177185056,3.1464071,1.765137
False,256,4,36.57142857142857,2,1,23.450396,64.21109,66.53908767700179,3.1589684,2.7968173
True,256,4,36.57142857142857,2,2,15.97084,24.04381,51.19207344055164,2.9033828,1.8654617
False,256,4,36.57142857142857,2,2,31.446943,133.79767,59.87683582305905,3.2675972,3.6708078
True,256,4,36.57142857142857,2,3,25.329967,37.11248,100.76726646423323,3.6537945,2.4380143
False,256,4,36.57142857142857,2,3,25.545515,72.56273,65.11772270202633,3.2801948,2.9579453
True,256,4,36.57142857142857,2,4,32.038303,96.67999,51.71679077148437,3.8399434,3.1610148
False,256,4,36.57142857142857,2,4,29.210903,85.23431,72.93787498474116,3.4611883,3.2419531
True,256,4,36.57142857142857,2,5,18.154634,20.833723,47.84120101928709,3.273369,1.7170563
False,256,4,36.57142857142857,2,5,55.624718,296.4391,101.56008071899402,3.9132178,5.231573
True,256,4,36.57142857142857,2,6,23.090248,36.704094,61.58722248077389,3.4864833,2.2665381
False,256,4,36.57142857142857,2,6,33.683605,93.99547,75.79737739562985,3.6970499,3.4732442
True,256,4,36.57142857142857,2,7,17.522665,37.170483,46.83785209655759,3.0006824,2.0587668
False,256,4,36.57142857142857,2,7,25.928726,56.739815,101.10762939453099,3.4700575,2.7379336
True,256,4,36.57142857142857,2,8,24.051071,29.484264,80.41409111022948,3.6502423,2.1966639
False,256,4,36.57142857142857,2,8,24.647572,83.12066,64.24214057922345,3.1752717,2.9531734
True,256,4,36.57142857142857,2,9,45.557304,205.88188,79.15126609802243,4.021283,4.340764
False,256,4,36.57142857142857,2,9,29.134405,99.110016,52.38843975067134,3.3092642,3.3425171
True,256,8,23.272727272727273,2,0,16.62394,31.996284,40.67819099426269,3.0154746,1.926124
False,256,8,23.272727272727273,2,0,24.994434,63.682526,68.69567699432366,3.4222674,2.7589645
True,256,8,23.272727272727273,2,1,11.537953,15.063845,38.92174663543697,2.4955692,1.4765592
False,256,8,23.272727272727273,2,1,13.829171,21.833506,36.24655084609977,2.750894,1.6623309
True,256,8,23.272727272727273,2,2,17.557064,40.2876,51.557043457031234,2.9005218,2.2556849
False,256,8,23.272727272727273,2,2,21.975737,42.990936,84.10265312194804,3.2973776,2.4507895
True,256,8,23.272727272727273,2,3,11.9658575,19.511818,36.674946784973095,2.560015,1.600525
False,256,8,23.272727272727273,2,3,18.804539,41.551586,57.33579883575428,2.9602265,2.3531568
True,256,8,23.272727272727273,2,4,14.379349,25.291998,48.65942993164062,2.7223678,1.8642125
