symmetric,input_dim,latent_dim,ratio,hidden_layers,seed,mse_mean,mse_std,mse_p95,mae_mean,mae_std
True,128,64,1.9104477611940298,2,2,1.7847507,3.7196767,5.1103390693664466,0.914624,0.65371805
False,128,64,1.9104477611940298,2,2,1.61677,3.9536197,4.581389427185056,0.84531236,0.655585
True,128,64,1.9104477611940298,2,3,1.7262629,5.5114474,6.829203128814678,0.79711986,0.7843942
False,128,64,1.9104477611940298,2,3,2.3383577,6.7881684,11.88036918640129,0.92659265,0.8782974
True,128,64,1.9104477611940298,2,4,2.605223,4.1904035,6.8391519546508786,1.1259934,0.72804993
False,128,64,1.9104477611940298,2,4,1.2455993,2.4036365,3.6289529800414986,0.79294294,0.5398336
True,128,64,1.9104477611940298,2,5,1.5013005,3.7733412,4.988981342315666,0.82763994,0.634002
False,128,64,1.9104477611940298,2,5,2.2902284,7.0003424,7.539601707458495,0.92488015,0.8768542
True,128,64,1.9104477611940298,2,6,1.4507189,3.3992004,4.50097675323486,0.8200291,0.6357124
False,128,64,1.9104477611940298,2,6,1.7836448,6.838376,3.8839786052703764,0.8394318,0.781596
True,128,64,1.9104477611940298,2,7,1.258856,3.2069538,3.3398660659790025,0.7515702,0.584574
False,128,64,1.9104477611940298,2,7,2.5368426,5.525096,7.584961891174313,1.0888656,0.7889826
True,128,64,1.9104477611940298,2,8,1.2561084,3.101603,3.6991246223449683,0.768476,0.576521
False,128,64,1.9104477611940298,2,8,2.1234922,5.7311683,5.934720516204833,0.93553275,0.7998
True,128,64,1.9104477611940298,2,9,1.7962414,2.6561077,5.608568382263179,0.94207877,0.6064951
False,128,64,1.9104477611940298,2,9,2.7083936,3.886724,8.53249416351318,1.2132041,0.7673057
True,256,4,36.57142857142857,2,0,18.21106,38.234604,47.66334114074705,3.037296,2.1944194
False,256,4,36.57142857142857,2,0,29.917114,112.22219,59.933632850646916,3.2290463,3.5458393
True,256,4,36.57142857142857,2,1,17.222275,18.435505,56.265465354919414,3.1464527,1.7651455
False,256,4,36.57142857142857,2,1,23.450048,64.21154,66.53039817810043,3.158939,2.7968037
True,256,4,36.57142857142857,2,2,15.982961,24.063873,51.09886703491199,2.904674,1.8662384
False,256,4,36.57142857142857,2,2,31.446728,133.79555,59.87672500610348,3.2675953,3.6707866
True,256,4,36.57142857142857,2,3,26.518957,38.295082,104.76730422973623,3.744613,2.486751
False,256,4,36.57142857142857,2,3,25.545448,72.56266,65.1187591552734,3.2801924,2.9579384
True,256,4,36.57142857142857,2,4,32.040146,96.6683,51.748126602172846,3.8401978,3.1609836
False,256,4,36.57142857142857,2,4,29.211025,85.235275,72.93844261169428,3.4611871,3.2419696
True,256,4,36.57142857142857,2,5,18.152727,20.828781,47.83212585449217,3.2732277,1.7168852
False,256,4,36.57142857142857,2,5,55.624912,296.4413,101.56006393432605,3.9132206,5.231585
True,256,4,36.57142857142857,2,6,23.080658,36.742916,61.36732101440426,3.4852393,2.2669039
False,256,4,36.57142857142857,2,6,33.683666,93.99547,75.7979438781738,3.6970556,3.473245
True,256,4,36.57142857142857,2,7,17.503042,37.051273,47.10754470825193,2.998826,2.0578058
False,256,4,36.57142857142857,2,7,25.928616,56.739983,101.10469741821262,3.470044,2.7379358
True,256,4,36.57142857142857,2,8,24.051447,29.484655,80.41463966369628,3.6502707,2.1966815
False,256,4,36.57142857142857,2,8,24.647226,83.119125,64.24170646667463,3.1752474,2.9531527
True,256,4,36.57142857142857,2,9,45.557106,205.88028,79.15148277282712,4.0212774,4.34075
False,256,4,36.57142857142857,2,9,29.134369,99.10949,52.38892383575435,3.3092666,3.342512
True,256,8,23.272727272727273,2,0,16.508621,31.705744,39.96880779266357,3.0067728,1.9193405
False,256,8,23.272727272727273,2,0,24.977173,63.61653,68.68414726257318,3.4211524,2.757835
True,256,8,23.272727272727273,2,1,11.57531,14.951548,38.60200347900387,2.501774,1.4754728
False,256,8,23.272727272727273,2,1,13.8429985,21.749828,36.21312894821159,2.7531576,1.6613913
True,256,8,23.272727272727273,2,2,17.571295,39.935215,51.264088630676255,2.9068537,2.2491543
False,256,8,23.272727272727273,2,2,21.974232,42.98936,84.09581260681132,3.2972355,2.45075
True,256,8,23.272727272727273,2,3,11.976618,19.559978,35.943756675720174,2.5616398,1.6020889
False,256,8,23.272727272727273,2,3,18.804369,41.550884,57.33601570129383,2.9602118,2.3531468
True,256,8,23.272727272727273,2,4,14.3747225,25.585888,48.766991043090776,2.7212086,1.8641571
False,256,8,23.272727272727273,2,4,21.926853,62.892986,56.893799972534126,3.0895548,2.707824
True,256,8,23.272727272727273,2,5,13.559964,22.469004,51.41399574279783,2.669979,1.7570902
False,256,8,23.272727272727273,2,5,15.1344385,23.284292,51.81997432708738,2.8111904,1.882731
True,256,8,23.272727272727273,2,6,15.282368,20.22432,51.38309745788567,2.9091036,1.7730482
False,256,8,23.272727272727273,2,6,20.07141,45.86464,61.76890201568599,3.0416014,2.4734936
True,256,8,23.272727272727273,2,7,18.78584,67.51151,47.36476135253902,2.8608408,2.512493
False,256,8,23.272727272727273,2,7,26.978655,69.6242,74.72142200469952,3.6071086,2.7970665
True,256,8,23.272727272727273,2,8,15.98651,19.534212,42.11439914703367,2.9963484,1.750095
False,256,8,23.272727272727273,2,8,14.491006,30.879665,53.03920955657938,2.6942234,1.921335
True,256,8,23.272727272727273,2,9,14.736933,22.802149,55.96006469726559,2.7554946,1.8867075
False,256,8,23.272727272727273,2,9,16.106579,38.930004,46.69517841339106,2.704475,2.203312
True,256,16,13.473684210526315,2,0,14.357752,25.520906,41.279770088195775,2.7584913,1.8942728
False,256,16,13.473684210526315,2,0,21.236677,58.495377,48.69300174713133,3.2515357,2.400347
True,256,16,13.473684210526315,2,1,14.608231,15.620894,42.89701309204096,2.953724,1.534625
False,256,16,13.473684210526315,2,1,19.241386,53.465942,56.39929485321041,3.0058737,2.365616
True,256,16,13.473684210526315,2,2,10.943246,15.41379,35.717660331726016,2.433696,1.5382099
False,256,16,13.473684210526315,2,2,17.06339,39.2642,53.42193775176999,2.759559,2.3879855
True,256,16,13.473684210526315,2,3,17.79471,56.376926,53.534385681152266,2.87683,2.3622382
False,256,16,13.473684210526315,2,3,13.053882,20.379057,54.507968521118045,2.6314964,1.7161913
True,256,16,13.473684210526315,2,4,14.486545,24.082855,67.7531829833984,2.7031956,1.9117016
False,256,16,13.473684210526315,2,4,14.577102,38.544197,44.202198028564446,2.562528,2.1262515
True,256,16,13.473684210526315,2,5,13.160677,22.116354,56.25200214385972,2.584443,1.8565136
False,256,16,13.473684210526315,2,5,17.430437,42.312817,54.26272697448726,2.7717786,2.384561
True,256,16,13.473684210526315,2,6,14.168533,36.107826,45.49057140350334,2.5497277,2.1248634
False,256,16,13.473684210526315,2,6,15.594021,32.604492,67.3093315124511,2.707626,2.1802218
True,256,16,13.473684210526315,2,7,14.441484,32.736713,38.02194538116452,2.6136267,2.0751321
False,256,16,13.473684210526315,2,7,16.719889,46.743828,50.26527843475333,2.7022302,2.3527467
True,256,16,13.473684210526315,2,8,15.242446,38.158646,40.70624542236322,2.725589,2.0624504
False,256,16,13.473684210526315,2,8,18.300161,36.3429,72.26221008300774,2.906903,2.3969393
True,256,16,13.473684210526315,2,9,16.846579,24.883959,56.85263652801509,3.0220852,1.9414467
False,256,16,13.473684210526315,2,9,15.295576,27.82169,56.43452033996574,2.6990607,2.0640867
True,256,32,7.314285714285714,2,0,13.760403,23.564528,59.05846557617187,2.6134686,1.941701
False,256,32,7.314285714285714,2,0,10.603073,20.00142,36.73482723236078,2.3224857,1.6842384
True,256,32,7.314285714285714,2,1,15.231019,29.35002,45.41670970916738,2.8472853,1.9655708
False,256,32,7.314285714285714,2,1,20.503424,34.63556,57.48475418090817,3.3575213,2.2527006
True,256,32,7.314285714285714,2,2,10.259651,11.693766,32.41056890487667,2.4630537,1.3509684
False,256,32,7.314285714285714,2,2,10.552324,21.34201,43.05498504638671,2.2538035,1.7536287
True,256,32,7.314285714285714,2,3,12.25816,32.824238,35.59166297912589,2.4190683,1.9383137
False,256,32,7.314285714285714,2,3,8.856392,19.294825,25.534943294525128,2.0756836,1.5871723
True,256,32,7.314285714285714,2,4,10.739311,21.156061,31.478214263915923,2.2709935,1.7643987
False,256,32,7.314285714285714,2,4,16.197176,42.432137,48.18592205047603,2.7606487,2.2606828
True,256,32,7.314285714285714,2,5,18.435928,29.2686,63.17306423187238,3.206238,2.027087
False,256,32,7.314285714285714,2,5,11.475858,29.640568,34.846825408935516,2.3027775,1.9374695
True,256,32,7.314285714285714,2,6,10.686323,25.616,25.683711147308337,2.3056972,1.7520062
False,256,32,7.314285714285714,2,6,15.253441,35.029934,65.21897544860828,2.5761774,2.2992163
True,256,32,7.314285714285714,2,7,15.306917,34.330772,43.033703613281226,2.821165,2.0353262
False,256,32,7.314285714285714,2,7,11.604231,19.361074,47.973601150512614,2.4334028,1.7540743
True,256,32,7.314285714285714,2,8,13.186015,16.959093,45.19925270080562,2.7863991,1.6519172
False,256,32,7.314285714285714,2,8,15.855325,49.24527,50.50393867492662,2.5595763,2.4414082
True,256,32,7.314285714285714,2,9,10.941546,19.58513,39.00593280792229,2.40046,1.7069572
False,256,32,7.314285714285714,2,9,21.272516,92.39529,43.631429004668945,2.6177006,3.0905592
True,256,64,3.8208955223880596,2,0,7.6251125,12.925227,23.016285991668685,1.9642252,1.3487377
False,256,64,3.8208955223880596,2,0,8.758273,14.193566,26.503374862670878,2.1535408,1.4320031
True,256,64,3.8208955223880596,2,1,10.721465,21.517853,39.255914688110146,2.2582982,1.7441685
False,256,64,3.8208955223880596,2,1,9.211629,12.262435,28.13973960876461,2.252982,1.3537421
True,256,64,3.8208955223880596,2,2,7.767155,11.965113,28.76194801330558,1.981947,1.3376461
False,256,64,3.8208955223880596,2,2,8.621187,16.693802,18.406259155273435,2.1108646,1.4472274
True,256,64,3.8208955223880596,2,3,9.533148,15.945306,33.7804010391235,2.2378356,1.4879992
False,256,64,3.8208955223880596,2,3,8.571831,16.895296,29.444370365142802,1.9909874,1.5820445
True,256,64,3.8208955223880596,2,4,18.510508,30.823341,58.50971279144287,3.1688304,2.1212833
False,256,64,3.8208955223880596,2,4,11.567626,26.696995,40.83797454833981,2.3138638,1.8918554
True,256,64,3.8208955223880596,2,5,10.864146,16.816109,41.02634468078613,2.4237907,1.5959138
False,256,64,3.8208955223880596,2,5,7.4236927,12.441425,25.27084817886348,1.9187438,1.3515371
True,256,64,3.8208955223880596,2,6,11.642475,18.043243,38.923310852050776,2.5273309,1.6290607
False,256,64,3.8208955223880596,2,6,14.394761,17.872868,33.936554145812956,2.9325058,1.6480548
True,256,64,3.8208955223880596,2,7,12.420083,27.916632,50.487096023559396,2.3930113,1.984953
False,256,64,3.8208955223880596,2,7,8.496814,12.817781,28.70265121459958,2.142689,1.3273354
True,256,64,3.8208955223880596,2,8,10.414624,23.985052,28.69751806259155,2.176867,1.742111
False,256,64,3.8208955223880596,2,8,8.376915,20.50874,18.026015758514376,1.9740566,1.5757334
True,256,64,3.8208955223880596,2,9,10.432072,22.028212,37.478693008422816,2.2610497,1.7131132
False,256,64,3.8208955223880596,2,9,9.976829,18.503807,27.908928298950194,2.2319925,1.5853355
True,512,4,73.14285714285714,2,0,65.88076,125.95913,155.6193618774414,5.896815,4.0777545
False,512,4,73.14285714285714,2,0,133.03423,371.51785,436.1515655517578,7.0468707,7.2259035
True,512,4,73.14285714285714,2,1,43.6516,56.57739,131.2026252746582,4.947877,2.8774
False,512,4,73.14285714285714,2,1,118.79471,162.32257,386.59547424316406,8.018419,5.1324873
True,512,4,73.14285714285714,2,2,27.302324,34.52746,75.1438217163086,3.8902252,2.1590188
False,512,4,73.14285714285714,2,2,390.90985,2218.9448,268.0957946777344,8.397617,15.082551
True,512,4,73.14285714285714,2,3,54.756687,71.82397,133.12496185302734,5.4385033,3.3994112
False,512,4,73.14285714285714,2,3,401.29837,2275.034,275.3916244506836,8.434634,15.273108
True,512,4,73.14285714285714,2,4,100.09537,167.30241,367.34796142578125,6.784732,5.626639
False,512,4,73.14285714285714,2,4,90.07595,291.1991,250.47847747802734,5.7589784,5.97387
True,512,4,73.14285714285714,2,5,146.75607,629.65424,213.41781616210938,6.8743196,7.9981785
False,512,4,73.14285714285714,2,5,90.076126,401.66278,133.59940719604492,5.0990076,6.631454
True,512,4,73.14285714285714,2,6,193.1642,1013.5045,164.46196746826172,6.8787603,10.043172
False,512,4,73.14285714285714,2,6,83.239365,319.4798,125.12223052978516,5.5023036,5.92727
True,512,4,73.14285714285714,2,7,35.652973,46.0714,145.13676071166992,4.4310155,2.795761
False,512,4,73.14285714285714,2,7,78.776566,249.544,215.60171508789062,5.514745,5.502944
True,512,4,73.14285714285714,2,8,51.174747,52.949165,117.12294006347656,5.4506574,2.861807
False,512,4,73.14285714285714,2,8,61.79484,176.4084,172.55569458007812,5.0836425,4.771954
True,512,4,73.14285714285714,2,9,35.224216,42.936153,106.07354736328125,4.41697,2.3540854
False,512,4,73.14285714285714,2,9,489.06854,2803.5278,410.1126403808594,9.285555,16.836
True,512,8,46.54545454545455,2,0,35.98732,62.122814,87.32098007202148,4.3682737,2.8978236
False,512,8,46.54545454545455,2,0,55.17663,85.02391,211.64117431640625,5.232982,3.9056063
True,512,8,46.54545454545455,2,1,39.936134,74.63493,87.5778694152832,4.619153,3.0449686
False,512,8,46.54545454545455,2,1,81.010864,326.2952,168.36971282958984,5.2444935,5.9578185
True,512,8,46.54545454545455,2,2,45.159107,84.10734,126.10073852539062,4.6905055,3.5985987
False,512,8,46.54545454545455,2,2,85.311584,334.28943,107.80193328857422,5.5113873,5.943972
True,512,8,46.54545454545455,2,3,41.84836,81.51748,96.73247909545898,4.5987716,3.2711675
False,512,8,46.54545454545455,2,3,95.718895,292.73773,176.39622497558594,6.314643,5.8798904
True,512,8,46.54545454545455,2,4,29.219368,40.00999,89.27962112426758,3.9139097,2.5083725
False,512,8,46.54545454545455,2,4,108.863235,459.5141,166.79676055908203,5.701489,7.173035
True,512,8,46.54545454545455,2,5,28.698109,27.195864,74.76919174194336,4.1357713,2.021268
False,512,8,46.54545454545455,2,5,213.54965,1200.1326,167.02322387695312,6.3419876,11.121358
True,512,8,46.54545454545455,2,6,41.143974,73.1143,135.01331329345703,4.4857073,3.4539669
False,512,8,46.54545454545455,2,6,60.450325,224.78369,70.45872497558594,4.887459,4.7610884
